id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
226262,Yemen,YEM,15.961595500000001,44.795736500000004,"[15.961595500000001, 44.795736500000004]",Triangulation,Conflict,total,6,2025-12-30,2025-12-30,2025-12-30,2025,39303,Yemen: Non-International armed conflict (NIAC) - Al Jawf - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Al Ghayl, Al Jawf Governorate, Yemen; Madinat Marib, Marib Governorate, Yemen","16.507521, 44.288052; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-05T18:28:25.962689Z,"Yemen: 6 displacements, 30 December - 30 December. According to IOM DTM Yemen, one household was displaced from Al Ghayl, Al Jawf Governorate to Madinat Marib, Marib Governorate due to conflict reasons between 30 December 2025 and 30 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226251,Yemen,YEM,15.7784605,47.172959,"[15.7784605, 47.172959]",Triangulation,Conflict,total,6,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Marib, Marib Governorate, Yemen; Tarim District, Hadramaut Governorate, Yemen","15.45788, 45.323021; 16.099041, 49.022897",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-05T18:28:20.269801Z,"Yemen: 6 displacements, 29 December - 29 December. According to IOM DTM Yemen, one household was displaced from Tarim District, Hadramaut Governorate to Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226250,Yemen,YEM,15.728065,46.7833215,"[15.728065, 46.7833215]",Triangulation,Conflict,total,6,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Al Qatn District, Hadramaut Governorate, Yemen; Marib, Marib Governorate, Yemen","15.99825, 48.243622; 15.45788, 45.323021",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-05T18:28:20.220111Z,"Yemen: 6 displacements, 29 December - 29 December. According to IOM DTM Yemen, one household was displaced from Al Qatn District, Hadramaut Governorate to Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226249,Yemen,YEM,15.70696,46.7735215,"[15.70696, 46.7735215]",Triangulation,Conflict,total,12,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Al Qatn District, Hadramaut Governorate, Yemen; Madinat Marib, Marib Governorate, Yemen","15.99825, 48.243622; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-05T18:28:20.172038Z,"Yemen: 12 displacements, 29 December - 29 December. According to IOM DTM Yemen, a total of 2 households were displaced from Al Qatn District, Hadramaut Governorate to Madinat Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226248,Yemen,YEM,15.56008,46.147048999999996,"[15.56008, 46.147048999999996]",Triangulation,Conflict,total,12,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Seiyun District, Hadramaut Governorate, Yemen; Wadi al Ayn, Al Hudaydah Governorate, Yemen","16.13504, 48.768799; 14.98512, 43.525299",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-05T18:28:20.124318Z,"Yemen: 12 displacements, 29 December - 29 December. According to IOM DTM Yemen, a total of 2 households were displaced from Seiyun District, Hadramaut Governorate to Wadi al Ayn, Al Hudaydah Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226254,Yemen,YEM,16.29864435,48.9176407,"[16.29864435, 48.9176407]",Triangulation,Conflict,total,6,2025-12-29,2025-12-29,2025-12-29,2025,39295,Yemen: Non-International armed conflict (NIAC) - Al Maharah - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Madinat Marib, Marib Governorate, Yemen; Shahin, Al Mahrah Governorate, Yemen","15.41567, 45.303421; 17.1816187, 52.5318604",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-05T18:28:25.333220Z,"Yemen: 6 displacements, 29 December - 29 December. According to IOM DTM Yemen, one household was displaced from Shahin, Al Mahrah Governorate to Madinat Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226246,Yemen,YEM,15.775355000000001,47.03611,"[15.775355000000001, 47.03611]",Triangulation,Conflict,total,54,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Madinat Marib, Marib Governorate, Yemen; Seiyun District, Hadramaut Governorate, Yemen","15.41567, 45.303421; 16.13504, 48.768799",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-05T18:28:20.028143Z,"Yemen: 54 displacements, 29 December - 29 December. According to IOM DTM Yemen, a total of 9 households were displaced from Seiyun District, Hadramaut Governorate to Madinat Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226245,Yemen,YEM,15.200395,44.41436,"[15.200395, 44.41436]",Triangulation,Conflict,total,12,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Madinat Marib, Marib Governorate, Yemen; Wadi al Ayn, Al Hudaydah Governorate, Yemen","15.41567, 45.303421; 14.98512, 43.525299",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-05T18:28:19.980067Z,"Yemen: 12 displacements, 29 December - 29 December. According to IOM DTM Yemen, a total of 2 households were displaced from Wadi al Ayn, Al Hudaydah Governorate to Madinat Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226255,Yemen,YEM,15.7573555,47.163159,"[15.7573555, 47.163159]",Triangulation,Conflict,total,6,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Madinat Marib, Marib Governorate, Yemen; Tarim District, Hadramaut Governorate, Yemen","15.41567, 45.303421; 16.099041, 49.022897",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2026-02-05T18:28:25.391023Z,"Yemen: 6 displacements, 29 December - 29 December. According to IOM DTM Yemen, one household was displaced from Tarim District, Hadramaut Governorate to Madinat Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
226244,Yemen,YEM,15.072435,47.1116605,"[15.072435, 47.1116605]",Triangulation,Conflict,total,12,2025-12-29,2025-12-29,2025-12-29,2025,39293,Yemen: Non-International armed conflict (NIAC) - Hadramawt - 12/2025,,,2025-12-01,2025-12-31,,,,,,IOM DTM Yemen,,"Al Mukalla, Muhafazat Hadramaout, Yemen; Madinat Marib, Marib Governorate, Yemen","14.7292, 48.9199; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2026-02-05T18:28:19.930176Z,"Yemen: 12 displacements, 29 December - 29 December. According to IOM DTM Yemen, a total of 2 households were displaced from Al Mukalla, Muhafazat Hadramaout to Madinat Marib, Marib Governorate due to conflict reasons between 29 December 2025 and 29 December 2025. IOM DTM Yemen - 07 October 2025",,Conflict
