country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA
Republic of Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA
Republic of Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA
Republic of Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA
Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,3716.5142,0.70015216,104.8981
Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3716.5142,0.70015216,104.8981
Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3716.5142,0.70015216,104.8981
Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,2387.8955,13.006117,104.9518
Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,2387.8955,13.006117,104.9518
Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2387.8955,13.006117,104.9518
Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,3707.277,NA,175.3819
Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,3707.277,NA,175.3819
Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,3707.277,NA,175.3819
Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3840.8477,2.039072,107.1933
Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3840.8477,2.039072,107.1933
Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,3840.8477,2.039072,107.1933
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,2749.6492,0.6736329,NA
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2749.6492,0.6736329,NA
Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,2749.6492,0.6736329,NA
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA
