country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Zimbabwe,ZWE,67.6,NA,NA,NA,NA,NA,NA,NA,26.1,2072.4438,49.219894,135.0029
Zimbabwe,ZWE,67.6,NA,NA,NA,NA,NA,NA,NA,23.7,2072.4438,49.219894,135.0029
Azerbaijan,AZE,NA,2023,6.6,3.5,3,12.2,13.7,NA,6.4,3347.8157,0,125.015
Azerbaijan,AZE,NA,2023,6.6,3.5,3,12.2,13.7,NA,7.2,3347.8157,0,125.015
Azerbaijan,AZE,NA,2023,6.6,3.5,3,12.2,13.7,NA,6.8,3347.8157,0,125.015
Kosovo,XKO,NA,2023,4,2.2,1.7,12.5,16.9,NA,NA,NA,9.97881,NA
Turks & Caicos Islands,TCA,NA,2023,5.3,0.6,0.8,17.5,22.4,NA,NA,NA,NA,NA
Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2530.9294,NA,NA
Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,2530.9294,NA,NA
Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,2530.9294,NA,NA
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,3408.1135,0.34092245,107.0644
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3408.1135,0.34092245,107.0644
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,3408.1135,0.34092245,107.0644
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,3354.89,NA,80.4274
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,3354.89,NA,80.4274
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,3354.89,NA,80.4274
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,3162.6196,1.9280258,118.1789
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,3162.6196,1.9280258,118.1789
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,3162.6196,1.9280258,118.1789
Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2930.993,NA,NA
Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,2930.993,NA,NA
Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,2930.993,NA,NA
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3467.567,0.9892079,103.6886
Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3467.567,0.9892079,103.6886
