term,estimate,std.error,statistic,p.value,conf.low,conf.high,significance
(Intercept),15.8857842651812,15.900312267013945,0.9990863071373206,0.31963786060564986,-15.575700120878036,47.34726865124044,
poverty_combined,9.064962358094716,4.133204494913924,2.1932044178432304,0.030099248681932863,0.886711107589873,17.24321360859956,*
log_gdp,-1.365722074683125,1.1111569820542584,-1.2290991252723245,0.2212893757863703,-3.5643360046676547,0.8328918553014049,
life_expectancy,0.05125611993707799,0.22951117613399447,0.22332733769423654,0.8236367728729852,-0.40287095399125106,0.5053831938654071,
outbreak_binary,10.060931671044564,2.538421158446589,3.9634603728253848,1.220912560322678e-4,5.038231720214742,15.083631621874385,***
region_south_asia,-5.9909160411757565,3.5429730271919406,-1.690929057375293,0.09328393737830341,-13.001293491842116,1.0194614094906038,.
region_east_asia,-5.78036183770407,2.257054078587049,-2.5610205322695085,0.011596869710644477,-10.24632894951183,-1.3143947258963102,*
region_latin_america,-1.9316672346882662,2.3393162390487565,-0.8257401040714983,0.41048793563761177,-6.560404085446288,2.697069616069756,
region_middle_east,-1.2425532839547757,3.141553890528855,-0.3955218746050547,0.6931162073388015,-7.458654390338824,4.973547822429273,
region_europe,-4.8422955684281,2.5242717828915664,-1.918294060586941,0.057300725403757864,-9.83699856230379,0.15240742544759112,.
region_north_america,-2.450496565003032,5.47042040513653,-0.4479539749270646,0.6549436744667285,-13.274657957004695,8.373664826998631,
