Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Latin America & Caribbean,10.8,NA,NA,NA,10838.83,75.64,657617663,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Latin America & Caribbean (excluding high income),9,NA,NA,NA,10166.93,75.5,589889543,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Latin America & the Caribbean (IDA & IBRD countries),9,NA,NA,NA,10593.12,75.57,642397939,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Latin America and the Caribbean,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Latvia,13.3,2.5,NA,2022-2024,22675.58,75.68,1877445,0.4,Europe & Central Asia,High income,0.04,0.34,0.01,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,3259.17,95.62,0.44,FALSE,None
LDC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.7,NA,FALSE,None
Least developed countries: UN classification,22,NA,NA,NA,1220.24,66.52,1160824674,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Lebanon,36.1,8.7,0.5,2022-2024,3477.72,77.82,5773493,NA,Middle East & North Africa,Lower middle income,0.61,0.35,0.26,27,7380878,41,9.5,NA,NA,NA,NA,NA,NA,2796.67,118.86,5.89,FALSE,None
Lesotho,69.7,NA,NA,NA,916.28,57.38,2311472,NA,Sub-Saharan Africa,Lower middle income,0.89,0.45,0.56,10,321586,64.1,31.7,33.1,2.02,10.7,46,61.8,15.3,1821.11,91.93,41.86,FALSE,None
Lesser Antilles,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.95,NA,FALSE,None
