Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
Paraguay,37.9,5.2,0.4,2022-2024,6299.99,73.84,6844146,2.4,Latin America & Caribbean,Upper middle income,0.29,0.44,0.1,1,240266,36.2,2.9,NA,NA,NA,NA,NA,NA,3065.13,76.97,2.11,FALSE,None
Peru,39.6,6.9,2.3,2022-2024,7887.54,77.74,33845617,5.9,Latin America & Caribbean,Upper middle income,0.46,0.4,0.18,1,1217379,34.7,9.6,NA,NA,NA,NA,NA,NA,2853.61,118.07,5.14,FALSE,None
Philippines,36.9,3,3.4,2022-2024,3804.08,69.83,114891199,5.3,East Asia & Pacific,Lower middle income,0.69,0.39,0.29,108,20168747,40.4,26,NA,NA,NA,16.5,21.7,5.22,2888.67,94.41,11.53,FALSE,None
Poland,10.2,2.5,NA,2022-2024,22145.26,78.51,36687353,0.2,Europe & Central Asia,High income,0.01,0.28,0.01,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,3754.6,120.83,0.24,FALSE,None
Polynesia,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,97.15,NA,FALSE,None
Portugal,10.6,2.5,NA,2022-2024,27386.29,82.28,10578174,0.4,Europe & Central Asia,High income,0.03,0.34,0.01,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,3461.21,147.16,0.41,FALSE,None
Post-demographic dividend,5,NA,NA,NA,53961.34,80.82,1121892872,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Pre-demographic dividend,22,NA,NA,NA,1416.33,62.16,1078224044,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Puerto Rico (US),0,NA,NA,NA,36948.4,81.69,3203792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Puerto Rico (USA),6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.62,NA,FALSE,None
Qatar,21.9,NA,NA,NA,80195.87,82.37,2656032,NA,Middle East & North Africa,High income,0,0.35,0,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,3298.68,95.62,0,FALSE,None
Republic of Korea,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Republic of Moldova,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Republic of the Congo,24.1,26.4,1.6,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6288427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Romania,17.3,2.5,NA,2022-2024,18404.27,76.61,19059479,0.7,Europe & Central Asia,High income,0.07,0.3,0.02,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,3716.51,104.9,0.7,FALSE,None
Russia,19,2.5,NA,2022-2024,14159.39,73.25,143826130,0.1,Europe & Central Asia,High income,0.02,0.33,0,8,2662426,NA,NA,NA,NA,NA,NA,NA,NA,3433.42,NA,0.04,FALSE,None
Russian Federation,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.15,NA,FALSE,None
Rwanda,72.3,24.4,3.4,2022-2024,1027.03,67.78,13954471,38.6,Sub-Saharan Africa,Low income,0.93,0.39,0.58,109,10461226,67,27,30,0.38,6.48,30.3,39.3,9.25,2336.46,95.66,38.55,FALSE,None
Rwanda (rural),20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.53,FALSE,None
"SA, Andean",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.57,NA,FALSE,None
"SA, Brazil",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.59,NA,FALSE,None
Saint Kitts and Nevis,10,NA,NA,NA,22600.45,72.14,46758,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2923.67,NA,NA,FALSE,None
Saint Lucia,20.6,NA,NA,NA,13554.77,72.7,179285,NA,Latin America & Caribbean,Upper middle income,0.29,0.51,0.13,NA,NA,38.6,2.5,NA,NA,NA,NA,NA,NA,2736.82,NA,6.4,FALSE,None
Saint Vincent and the Grenadines,18.9,6.1,NA,2022-2024,10582.37,71.23,101323,NA,Latin America & Caribbean,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3018.07,NA,NA,FALSE,None
Samoa,17.7,3.6,NA,2022-2024,4330.18,71.7,216663,NA,East Asia & Pacific,Lower middle income,0.62,0.39,0.23,NA,NA,47,7.8,7.1,3.1,3.3,15.6,19.6,NA,3164.36,NA,4.46,FALSE,None
San Marino,5,NA,NA,NA,NA,85.71,33860,NA,Europe & Central Asia,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sao Tome & Principe,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sao Tome and Principe,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,2387.9,104.95,13.01,FALSE,None
São Tomé and Príncipe,50.2,17.4,NA,2022-2024,2940.93,69.72,230871,NA,Sub-Saharan Africa,Lower middle income,0.79,0.41,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Saudi Arabia,20,2.5,NA,2022-2024,36156.85,78.73,33702731,NA,Middle East & North Africa,High income,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,3707.28,175.38,NA,FALSE,None
SE Asia,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.02,NA,FALSE,None
Senegal,48.5,5.1,0.9,2022-2024,1698.03,68.68,18077573,NA,Sub-Saharan Africa,Lower middle income,0.86,0.36,0.44,64,7603399,55.5,15.3,17.1,10.2,15.7,32.6,42.2,9.98,2772.09,109.95,17.89,FALSE,None
Serbia,15.9,2.5,NA,2022-2024,12281.51,76.22,6623183,NA,Europe & Central Asia,Upper middle income,0.15,0.33,0.05,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,3840.85,107.19,2.04,FALSE,None
Serbia and Montenegro,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2916.05,106.82,NA,FALSE,None
Seychelles,22.1,2.5,NA,2022-2024,18262.71,74.96,119773,NA,Sub-Saharan Africa,High income,0.13,0.32,0.04,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,2749.65,NA,0.67,FALSE,None
Sierra Leone,72.2,24.1,2,2022-2024,757.85,61.79,8460512,NA,Sub-Saharan Africa,Low income,0.95,0.36,0.59,13,1448558,72,22.7,NA,NA,NA,NA,NA,NA,2408.55,113.9,41.49,FALSE,None
Singapore,5.5,NA,NA,NA,85412.23,82.9,5917648,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sint Maarten (Dutch part),10,NA,NA,NA,38077.54,76.37,42749,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Slovakia,13.5,3.1,0.2,2022-2024,24673.55,78.02,5426740,0.5,Europe & Central Asia,High income,0.07,0.24,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3075.6,89.18,0.45,FALSE,None
Slovenia,11,2.5,NA,2022-2024,32610.11,81.98,2120461,0,Europe & Central Asia,High income,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100.33,111.91,0,FALSE,None
Small states,5,NA,NA,NA,14222.97,72.9,20051342,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Solomon Islands,48,20,0.2,2022-2024,2076.11,70.53,800005,NA,East Asia & Pacific,Lower middle income,0.94,0.37,0.59,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,2138.69,92.34,40.3,FALSE,None
Somalia,80.4,53.2,9.8,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4101247,85,22,NA,NA,NA,NA,NA,NA,1812.43,74.63,NA,TRUE,"2011-2012, 2017, 2022"
"Somalia, Fed. Rep.",24,NA,NA,NA,597.46,58.82,18358615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
South Africa,60.6,10,6.3,2022-2024,6022.54,66.14,63212384,NA,Sub-Saharan Africa,Upper middle income,0.71,0.63,0.43,1,114612,40.4,21.7,NA,NA,NA,NA,NA,NA,2651.04,100.2,31.21,FALSE,None
South America,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,3156.92,NA,NA,FALSE,None
South Asia,22.9,NA,NA,NA,2532.38,72.32,1662580579,4.7,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.16,NA,FALSE,None
South Asia (IDA & IBRD),17,NA,NA,NA,2532.38,72.32,1662580579,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
South Korea,2.1,2.5,NA,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3444.16,NA,0.25,FALSE,None
South Sudan,83.8,22.3,2.6,2022-2024,NA,57.62,11483374,NA,Sub-Saharan Africa,Low income,0.99,0.44,0.77,37,1090388,90.8,27.8,NA,NA,NA,NA,NA,NA,2391.07,114.1,76.5,TRUE,2017-2023
South-eastern Asia,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Spain,14,2.5,NA,2022-2024,33509.01,83.88,48347910,0.8,Europe & Central Asia,High income,0.03,0.33,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3356.25,89.99,0.81,FALSE,None
Sri Lanka,33.1,7.4,1.7,2022-2024,3798.89,77.48,22037000,NA,South Asia,Lower middle income,0.65,0.38,0.25,43,4934408,NA,9.7,NA,NA,NA,NA,NA,NA,2678.95,94.27,2.71,FALSE,None
"SSA, Horn",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.55,NA,FALSE,None
"SSA, Nigeria",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.1,NA,FALSE,None
"SSA, SACU",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.73,NA,FALSE,None
"SSA, Sahel",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7,NA,FALSE,None
"SSA, Total",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.88,NA,FALSE,None
St. Martin (French part),10,NA,NA,NA,NA,80.22,27515,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sub-Saharan Africa,46.5,NA,NA,NA,1544.76,62.6,1259902353,46.5,NA,NA,NA,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sub-Saharan Africa (excluding high income),22,NA,NA,NA,1614.14,62.07,1131090888,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sub-Saharan Africa (IDA & IBRD countries),22,NA,NA,NA,1544.76,62.6,1259902353,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Sudan,58.2,NA,NA,NA,797.28,66.33,50042791,NA,Sub-Saharan Africa,Low income,0.83,0.34,0.38,18,2984695,71.3,34.1,NA,NA,NA,NA,NA,NA,2513.48,98.42,10.1,FALSE,None
Sudan (former),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200.63,NA,NA,FALSE,None
"Sudan, former",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.14,NA,FALSE,None
Suriname,33.3,9.7,NA,2022-2024,5494.07,73.63,628886,NA,Latin America & Caribbean,Upper middle income,0.27,0.39,0.1,NA,NA,35.3,7.1,NA,NA,NA,NA,NA,NA,2630.25,93.85,2.18,FALSE,None
Suriname (urban),8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,FALSE,None
Sweden,12,2.5,NA,2022-2024,55567.09,83.31,10536632,0.8,Europe & Central Asia,High income,0.02,0.29,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3347.43,102.44,0.84,FALSE,None
Switzerland,11,2.5,NA,2022-2024,100631.8,84.06,8888093,NA,Europe & Central Asia,High income,0,0.34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432.26,118.06,0.21,FALSE,None
Syria,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,NA,NA,NA,NA,NA,NA,NA,2351.38,82.57,16.47,FALSE,None
Syrian Arab Republic,67.1,39,9.2,2022-2024,847.37,72.12,23594623,NA,Middle East & North Africa,Low income,0.93,0.27,0.48,97,18308048,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Taiwan,7,3.8,0.9,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3016.36,100.61,0,FALSE,None
"Taiwan, China",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Tajikistan,32.4,8.4,0.9,2022-2024,1178.48,71.79,10389799,7.3,Europe & Central Asia,Lower middle income,0.67,0.36,0.27,15,3913600,49.5,12.2,NA,NA,NA,NA,NA,NA,2706.01,126.2,6.13,FALSE,None
Tanzania,95.4,20.2,13.4,2022-2024,1224.49,67,66617606,NA,Sub-Saharan Africa,Lower middle income,0.94,0.4,0.63,63,17050840,67.2,NA,29.1,2.74,10.5,31.9,42.4,10.8,2386.33,80.19,51.35,TRUE,2017-2019
Thailand,31.1,4.6,3.3,2022-2024,7195.1,76.41,71702435,0,East Asia & Pacific,Upper middle income,0.19,0.33,0.04,1,1190559,32.3,11.5,12.5,6.9,6.53,4.36,4.93,NA,2876.5,108.23,0,FALSE,None
Timor Leste,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Timor-Leste,51.4,18.7,0.3,2022-2024,1502.52,67.69,1384286,NA,East Asia & Pacific,Lower middle income,0.98,0.29,0.63,22,1122481,NA,43.8,NA,NA,NA,NA,NA,NA,NA,75.92,NA,FALSE,None
Togo,57.8,9.1,0.8,2022-2024,985.7,62.74,9304337,NA,Sub-Saharan Africa,Low income,0.91,0.38,0.54,6,563397,67.9,20.8,NA,NA,NA,NA,NA,NA,2527.39,98.45,34.42,FALSE,None
Tonga,13.5,NA,NA,NA,4863.76,72.89,104597,NA,East Asia & Pacific,Upper middle income,0.41,0.27,0.11,NA,NA,44.3,1.5,2.2,1.1,0.8,8.79,11.2,NA,3016.66,NA,0.41,FALSE,None
Trinidad & Tobago,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,NA,NA,NA,NA,13,15,NA,NA,NA,NA,FALSE,None
Trinidad and Tobago,34.5,11.2,0.2,2022-2024,18639.26,73.49,1367510,NA,Latin America & Caribbean,High income,0.39,0.4,0.15,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,2984.95,84.59,3.24,FALSE,None
Tunisia,34.2,3,0.4,2022-2024,3950.38,76.51,12200431,NA,Middle East & North Africa,Lower middle income,0.31,0.34,0.09,NA,NA,37,8.4,NA,NA,NA,NA,NA,NA,3539.61,94.28,0.65,FALSE,None
Turkey,13.1,2.5,NA,2022-2024,NA,NA,NA,NA,NA,NA,0.17,0.44,0.05,4,3011423,34.1,NA,NA,NA,NA,NA,NA,NA,3784.93,122.42,0.53,FALSE,None
Turkiye,12,NA,NA,NA,13105.66,77.16,85325965,NA,Europe & Central Asia,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Türkiye,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Turkmenistan,26,4.3,0.3,2022-2024,8232.65,70.07,7364438,NA,Europe & Central Asia,Upper middle income,0.9,0.41,0.54,NA,NA,43.4,6.1,NA,NA,NA,NA,NA,NA,2521.21,112.51,35.08,FALSE,None
Turks & Caicos Islands,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0.6,0.8,17.5,22.4,NA,NA,NA,NA,FALSE,None
Turks and Caicos Islands,10,NA,NA,NA,35470.22,78.01,46198,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Tuvalu,19.3,NA,NA,NA,6344.78,67.11,9816,NA,East Asia & Pacific,Upper middle income,0.73,0.39,0.31,NA,NA,41.9,4.8,5.6,2.8,2.9,16.4,20.8,NA,3356.85,NA,8.99,FALSE,None
Uganda,72.2,22,10.7,2022-2024,1002.31,68.25,48656601,NA,Sub-Saharan Africa,Low income,0.96,0.43,0.67,43,4092114,72.1,21.1,NA,NA,NA,NA,NA,NA,2163.47,95.53,59.78,FALSE,None
Ukraine,25.8,6.9,2.7,2022-2024,5139.6,73.42,37732836,NA,Europe & Central Asia,Upper middle income,0.21,0.26,0.04,27,8261502,NA,10.9,NA,NA,NA,NA,NA,NA,2757.92,101.97,0.03,FALSE,None
United Arab Emirates,20,2.5,NA,2022-2024,49040.69,82.91,10483751,NA,Middle East & North Africa,High income,0.01,0.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3061.69,131.16,0,FALSE,None
United Kingdom,14,2.5,NA,2022-2024,49200.81,81.24,68492000,NA,Europe & Central Asia,High income,0.01,0.32,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3322.31,103.06,0.5,FALSE,None
United Republic of Tanzania,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
United States,15,2.5,NA,2022-2024,82304.62,78.39,336806231,1.2,North America,High income,0.02,0.42,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3874.98,100.61,1.25,FALSE,None
United States of America,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Upper middle income,9.9,NA,NA,NA,10631.32,76.2,2809441887,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Upper-middle-income countries,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3253.77,NA,NA,FALSE,None
Uruguay,19.2,2.5,NA,2022-2024,23019.42,78.14,3388081,0.2,Latin America & Caribbean,High income,0.09,0.4,0.02,NA,NA,24.7,5.7,NA,NA,NA,NA,NA,NA,3337.97,86.6,0.17,FALSE,None
Uruguay (urban),0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,FALSE,None
USSR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3015.04,NA,NA,FALSE,None
Uzbekistan,27.4,2.5,NA,2022-2024,2878.97,72.39,35652307,4.1,Europe & Central Asia,Lower middle income,0.29,0.35,0.1,NA,NA,42.1,6.3,NA,NA,NA,NA,NA,NA,3242.65,91.32,2.72,FALSE,None
Vanuatu,31,7.2,NA,2022-2024,3515.24,71.48,320409,NA,East Asia & Pacific,Lower middle income,0.89,0.32,0.45,NA,NA,57.4,29.5,28.9,7.9,11.8,14.2,16.6,NA,2907.51,84.07,19.5,FALSE,None
Venezuela,36.6,5.9,1.7,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,3090384,35.5,NA,NA,NA,NA,NA,NA,NA,2325.36,98.73,9.71,TRUE,2016-2020
Venezuela (Bolivarian Republic of),2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
"Venezuela, RB",15.2,NA,NA,NA,NA,72.51,28300854,NA,Latin America & Caribbean,Not classified,0.53,0.45,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Viet Nam,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Vietnam,31.4,5.3,5.3,2022-2024,4323.35,74.59,100352192,NA,East Asia & Pacific,Lower middle income,0.31,0.36,0.1,3,34719,37.1,NA,NA,NA,NA,10.9,12.4,NA,3026.15,119.59,1.6,FALSE,None
Virgin Islands (U.S.),10,NA,NA,NA,NA,80.52,104917,NA,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
West Asia,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.69,NA,FALSE,None
West Bank,31.2,NA,NA,NA,3455.03,65.17,5165775,2.1,Middle East & North Africa,Lower middle income,0.39,0.36,0.13,9,1311660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
West Bank and Gaza,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.27,NA,FALSE,None
World (excluding China),4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.21,FALSE,None
World (excluding India),4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.67,FALSE,None
Yemen,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,5983718,80.7,46.3,NA,NA,NA,40.7,48.2,NA,1836.55,105.58,33.3,TRUE,2016-2023
"Yemen, Rep.",21.4,NA,NA,NA,NA,69.3,39390799,NA,Middle East & North Africa,Low income,0.92,0.37,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Yugoslavia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3414.52,NA,NA,FALSE,None
"Yugoslavia, former",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.96,NA,FALSE,None
Zambia,100,37.2,7.7,2022-2024,1330.73,66.35,20723965,NA,Sub-Saharan Africa,Lower middle income,0.96,0.51,0.74,209,11970582,64.7,29.4,NA,NA,NA,NA,NA,NA,2143.64,111.92,71.66,TRUE,2019-2020
Zimbabwe,86.4,19.7,3.2,2022-2024,2156.03,62.77,16340822,NA,Sub-Saharan Africa,Lower middle income,0.89,0.5,0.59,306,7189103,67.6,21.3,NA,NA,NA,NA,NA,NA,2072.44,135,49.22,TRUE,2019-2021
