term,estimate,std.error,statistic,p.value,abs_std_coef,relative_importance
outbreak_binary,0.9913097937391203,0.2501122000703786,3.963460372825386,1.2209125603226728e-4,0.9913097937391203,26.562991122826222
region_south_asia,-0.5902886471417348,0.34909131436773394,-1.690929057375294,0.09328393737830326,0.5902886471417348,15.81728758553697
region_east_asia,-0.5695426118003822,0.22238892840725033,-2.5610205322695103,0.011596869710644421,0.5695426118003822,15.261379880310352
region_europe,-0.477114364565001,0.24871805338281547,-1.9182940605869425,0.057300725403757684,0.477114364565001,12.784686190488964
scale(poverty_combined),0.32676475058522936,0.14898964634886422,2.193204417843229,0.03009924868193297,0.32676475058522936,8.755940094476882
region_north_america,-0.24144893572857026,0.5390038915669472,-0.4479539749270642,0.654943674466729,0.24144893572857026,6.469830094366745
region_latin_america,-0.19032836228303668,0.23049426974005396,-0.8257401040715006,0.41048793563761055,0.19032836228303668,5.100010743036042
scale(log_gdp),-0.18777410454207197,0.15277376794200231,-1.2290991252723233,0.22128937578637073,0.18777410454207197,5.031567229083922
region_middle_east,-0.12242954031504674,0.30953923961170854,-0.39552187460505656,0.6931162073388002,0.12242954031504674,3.280603917261534
scale(life_expectancy),0.034919700308412446,0.15636106474444159,0.22332733769423754,0.8236367728729843,0.034919700308412446,0.9357031426123668
