Model,R_squared,Adj_R_squared,AIC,BIC,N
Model 1: Basic,0.5542544085805761,0.5409485700307425,937.382189276375,954.9890328751592,139
Model 2: + Inequality,0.5773904667624582,0.5613825298973998,925.983511641425,946.4742874375255,138
Model 3: Log GDP,0.5572404210209672,0.5440237171708467,936.44790705573,954.0547506545141,139
Model 4: + Regions,0.5915218653024633,0.5596095110292183,937.246102139026,972.4597893365943,139
