country,undernourishment,climate_vulnerability,gdp_per_capita,rural_pct,ag_land_pct,disaster_count,water_per_capita,kcal_per_capita,ln_gdp,ln_water
Mozambique,21.8,0.491543032,622.9856193,61.247,52.78915028,3,3163.2595,2175.5925,6.434523436,8.059358262
Myanmar,5.4,0.515496948,1233.196662,67.888,19.91409441,4,18783.562,2829.1934,7.117364989,9.840737405
Namibia,18.1,0.454471623,4187.605004,45.114,47.14256216,4,2191.7434,2297.5337,8.339884251,7.692452579
Nepal,5.3,0.490979684,1382.330558,78.097,26.11859086,5,6724.3403,3012.8118,7.231526164,8.813489103
New Zealand,2.5,0.303377602,48654.90423,13.015,36.88048308,4,63975.9,3180.148,10.79250789,11.06626173
Niger,12.9,0.636150298,638.3360807,82.946,36.78732139,5,142.84467,2724.2576,6.458864917,4.961757816
Nigeria,19.9,0.48195806,1596.636961,45.717,76.19729328,6,1011.3061,2451.6863,7.375654797,6.918997943
Norway,2.5,0.255191472,87497.32893,16.005,2.695802564,8,70631.914,3490.115,11.37936355,11.16523736
Oman,5.9,0.421309559,20972.48309,11.6,4.755185784,7,311.0818,2964.2441,9.950966528,5.7400559
Pakistan,16.5,0.514132367,1365.169274,61.96,46.69338937,4,229.66638,2364.0386,7.21903371,5.436627734
Panama,5.7,0.458947898,18686.4051,30.488,29.52232677,8,1766.0133,2701.8284,9.835551538,7.476479912
Papua New Guinea,28.7,0.550349181,2966.068304,86.277,3.102504085,7,79996.836,2209.8362,7.994992552,11.28974236
Paraguay,5.2,0.37228135,6299.990265,36.851,54.10694216,4,17504.012,3065.1274,8.748303367,9.770185391
Peru,6.9,0.408896846,7887.541859,21.078,19.05121875,8,49493.48,2853.6084,8.973039814,10.80959622
Philippines,3,0.445290563,3804.082741,51.713,42.66894724,6,4235.1543,2888.6726,8.243830175,8.351175041
Poland,2.5,0.304461058,22145.26431,39.782,47.60505436,12,1449.371,3754.5994,10.00537895,7.278884948
Portugal,2.5,0.318670681,27386.29206,32.094,43.33752194,12,3667.3054,3461.207,10.21779788,8.207212448
Romania,2.5,0.412718451,18404.27309,45.328,55.26338665,4,2216.2886,3716.5142,9.82033815,7.703589274
Rwanda,24.4,0.567553316,1027.034468,82.108,76.3328334,1,711.3302,2336.4639,6.934430771,6.567136738
Sao Tome and Principe,17.4,0.539864659,2940.933529,23.599,44.79166667,8,9821.545,2387.8955,7.986482337,9.192333721
Saudi Arabia,2.5,0.40950148,36156.84834,15.05,80.77323568,11,77.96161,3707.277,10.49562165,4.356216526
Senegal,5.1,0.536866793,1698.033873,50.421,49.40009349,10,1498.1824,2772.088,7.437226315,7.312007919
Serbia,2.5,0.422948404,12281.50585,42.887,40.38530146,10,1230.114,3840.8477,9.41584982,7.114862127
Sierra Leone,24.1,0.597606217,757.8486806,55.7,54.71044611,4,19766.26,2408.555,6.630483736,9.891731723
Slovenia,3.1,0.363377526,32610.11092,43.912,30.35585686,8,2313.095,3075.5967,10.39237767,7.746341734
Solomon Islands,20,0.632252809,2076.107688,73.963,3.901393355,7,58615.957,2138.691,7.638250116,10.97876224
South Africa,10,0.395066723,6022.542542,31.181,79.41785028,17,728.42444,3573.3667,8.703264798,6.5908839
Spain,2.5,0.305986829,33509.0128,18.448,49.57532699,5,2343.8247,3356.253,10.41956972,7.759539361
Sri Lanka,7.4,0.474109099,3798.890166,80.789,48.60814743,7,2383.1016,2678.9468,8.242464241,7.776158112
St. Vincent and the Grenadines,6.1,0.432391811,10582.36567,45.701,17.94871795,7,972.3748,3018.067,9.266944279,6.879741327
Suriname,9.7,0.403654821,5494.074094,33.589,0.445038089,7,160221.14,2630.2493,8.611425353,11.98431026
Sweden,2.5,0.316822568,55567.08901,11.262,7.321924031,7,16417.348,3347.428,10.92534638,9.70609386
