model,term,coef,std_err,t,pvalue,ci_low,ci_high,n,r2,r2_adj
M1_baseline_vulnerability,const,-20.037576892141296,2.5847035971154764,-7.752369329505785,9.019360990313876e-15,-25.103502853198755,-14.971650931083836,143,0.4234013021570284,0.41931194969005703
M1_baseline_vulnerability,vulnerability,69.41792603931778,7.12194844933349,9.747041351557982,1.8992273676129488e-22,55.45916357887325,83.37668849976231,143,0.4234013021570284,0.41931194969005703
M2_multivariate,const,18.33467918453143,13.293456993032283,1.379225824715233,0.1678251380995751,-7.720017751843969,44.38937612090683,139,0.4644917565935054,0.4443598677436371
M2_multivariate,vulnerability,40.06692388326621,11.475897652450026,3.4913978057927517,0.0004805002441219892,17.574577794196408,62.55926997233602,139,0.4644917565935054,0.4443598677436371
M2_multivariate,ln_gdp_pcap,-2.840122077190174,1.0368909110042392,-2.7390751013908368,0.006161229746574738,-4.872390918655409,-0.8078532357249384,139,0.4644917565935054,0.4443598677436371
M2_multivariate,rural_pct,-0.04712521495016064,0.04468220943370412,-1.0546751279182212,0.29157393082082483,-0.13470073618989659,0.040450306289575286,139,0.4644917565935054,0.4443598677436371
M2_multivariate,disaster_count,0.12109267387350942,0.2475704797025356,0.4891240426524455,0.6247538808912425,-0.3641365499787648,0.6063218977257836,139,0.4644917565935054,0.4443598677436371
M2_multivariate,ln1_fatalities,0.06544426280601978,0.308481464590096,0.212149740967357,0.8319902150935055,-0.5391682976887364,0.670056823300776,139,0.4644917565935054,0.4443598677436371
M4_buffer_determinants,const,-11.650390708254811,9.77755264408856,-1.1915446668853842,0.23343983251932776,-30.814041747612766,7.513260331103144,139,0.0570562323118623,0.021607218488999935
M4_buffer_determinants,ln_gdp_pcap,0.407740775218693,1.087279337692812,0.3750101386860822,0.7076529264247569,-1.723287567793782,2.5387691182311682,139,0.0570562323118623,0.021607218488999935
M4_buffer_determinants,readiness,13.35417470435511,8.691013724386096,1.5365497199578297,0.12440361333783152,-3.679899184584958,30.388248593295177,139,0.0570562323118623,0.021607218488999935
M4_buffer_determinants,rural_pct,0.06530438489236692,0.04331885495820028,1.507527956484103,0.13167538349674868,-0.019599010677219975,0.15020778046195382,139,0.0570562323118623,0.021607218488999935
M4_buffer_determinants,disaster_count,-0.05473995588806986,0.2539988048805588,-0.2155126513835801,0.8293676494239259,-0.5525684655701817,0.44308855379404194,139,0.0570562323118623,0.021607218488999935
M4_buffer_determinants,ln1_fatalities,0.04941984369503827,0.3070719345333668,0.16093897923344164,0.8721414614612498,-0.5524300886534019,0.6512697760434785,139,0.0570562323118623,0.021607218488999935
M3_panel_twoway_FE,vulnerability,35.09858612701362,26.120089844277114,1.3437391041250069,0.17913771043286797,,,3072,0.14794199379271689,
M3_panel_twoway_FE,ln_gdp_pcap,-5.477937479392611,0.9435456216475182,-5.805694344516827,7.103418520060245e-09,,,3072,0.14794199379271689,
