model,term,estimate,std_error,t_value,p_value
11_predictors_excl_grfc_ipc_phase,(Intercept),61.012926359860536,51.814603647406976,1.1775237493863158,0.24740937067248356
11_predictors_excl_grfc_ipc_phase,poverty_display,-0.03225170342334004,0.1816346637093087,-0.1775635925692919,0.8601511672138765
11_predictors_excl_grfc_ipc_phase,gdp_per_capita,-1.3397860351553034e-4,8.91110764339762e-5,-1.5035011232840085,0.14222073170580032
11_predictors_excl_grfc_ipc_phase,life_expectancy,-0.1522729744553218,0.5186056605965207,-0.2936199621889422,0.7708870882142624
11_predictors_excl_grfc_ipc_phase,stunting_rate,-0.3539525304918521,0.18017518659279558,-1.9644909889384576,0.057940339435526095
11_predictors_excl_grfc_ipc_phase,climate_vulnerability_index,-37.49605132494634,34.829145468534975,-1.076571096434757,0.28947967580412426
11_predictors_excl_grfc_ipc_phase,conflict_ord,1.8665708645597838,1.494051120106451,1.249335340297319,0.2203315829238058
11_predictors_excl_grfc_ipc_phase,mho_for_reg,8.157601344104446,10.08690158227546,0.8087321242866937,0.4244616802305752
11_predictors_excl_grfc_ipc_phase,avg_import_share,0.897351221632281,13.7660163212455,0.0651859768789735,0.9484192266426339
11_predictors_excl_grfc_ipc_phase,food_supply_kcal,-0.005998914504631114,0.00447351788932931,-1.3409836851083876,0.18908350144358593
11_predictors_excl_grfc_ipc_phase,water_per_capita,2.545272618408678e-4,1.1350665876730706e-4,2.2423993852436297,0.031773450616442406
11_predictors_excl_grfc_ipc_phase,displaced_pct,-0.929274214055847,0.384630510551051,-2.416017940762156,0.0213868597593746
